class,采集时间,竖向变位平均值,竖向变位标准差
0,2021-04-27 19:00:15,-12.772507440476275,16.965512235701503
1,2021-04-27 19:10:15,-5.796788273589713,4.781439559132659
2,2021-04-27 19:20:15,-5.721975380984719,5.0256421372649
3,2021-04-27 19:30:15,-6.140252353869055,5.489235725649896
4,2021-04-27 19:40:15,-5.999858753666473,5.1981724287286895
5,2021-04-27 19:50:15,-5.98229237624896,4.667259323581017
6,2021-04-27 20:00:15,-6.577828126242219,5.757327132236457
7,2021-04-27 20:10:15,-7.528069237117796,6.574149601195493
8,2021-04-27 20:20:15,-7.307663690476326,5.61480943211128
9,2021-04-27 20:30:15,-7.001103329175982,5.119506433728403
10,2021-04-27 20:40:15,-7.3181092237466006,5.437765565234545
11,2021-04-27 20:50:15,-7.83028212954365,5.5651694517343895
12,2021-04-27 21:00:15,-8.818981003592842,5.625354861080645
13,2021-04-27 21:10:15,-9.855443594813211,6.63983038116146
14,2021-04-27 21:20:15,-9.435868473895558,5.226940161696801
15,2021-04-27 21:30:15,-10.599055003392815,5.547126598436828
16,2021-04-27 21:40:15,-10.713851925424263,5.1701659443833945
17,2021-04-27 21:50:15,-11.662126715092807,5.132043481830225
18,2021-04-27 22:00:15,-11.701029409415268,5.864349460259764
19,2021-04-27 22:10:15,-12.981691324950393,6.162062473253894
20,2021-04-27 22:20:15,-12.399878398652968,5.9179463494643825
21,2021-04-27 22:30:15,-13.470104728212132,6.5375862906752475
22,2021-04-27 22:40:15,-12.89225256535611,5.563806628044373
23,2021-04-27 22:50:15,-13.621532695585472,6.076012941273662
24,2021-04-27 23:00:15,-13.375695002068282,5.721833640614941
25,2021-04-27 23:10:15,-13.457070860712266,5.697298919991613
26,2021-04-27 23:20:15,-13.47633683785376,5.314007050083266
27,2021-04-27 23:30:15,-13.88544493790616,5.346934554138666
28,2021-04-27 23:40:15,-13.835975126156926,5.296258985381005
29,2021-04-27 23:50:15,-13.7760913037814,5.395670703587591
30,2021-04-28 00:00:15,-14.655471560959462,6.215557786343184
31,2021-04-28 00:10:15,-14.691427095885683,5.321335378804151
32,2021-04-28 00:20:15,-14.904889083658059,5.3796958982742495
33,2021-04-28 00:30:15,-15.265128968254025,5.196844288511796
34,2021-04-28 00:40:15,-16.403219981107995,6.29721729776575
35,2021-04-28 00:50:15,-16.502405563759478,5.0813453293441935
36,2021-04-28 01:00:15,-16.943364568698062,6.00702515333844
37,2021-04-28 01:10:15,-16.634275777022278,5.189347440480239
38,2021-04-28 01:20:15,-16.868475007542223,4.025198579944273
39,2021-04-28 01:30:15,-16.922326961265128,4.467562121673227
40,2021-04-28 01:40:15,-17.241281284976118,5.2801409188116075
41,2021-04-28 01:50:15,-17.69669006732416,5.2602649650476225
42,2021-04-28 02:00:15,-17.43886408730176,5.154370048776357
43,2021-04-28 02:10:15,-17.572084680477452,5.029360486645091
44,2021-04-28 02:20:15,-17.45386904761908,5.191483332503747
45,2021-04-28 02:30:15,-18.054268100504373,5.388716276271185
46,2021-04-28 02:40:15,-17.89702053516871,4.847368350889422
47,2021-04-28 02:50:15,-18.229169157619772,4.60439476034341
48,2021-04-28 03:00:15,-17.79342600334477,4.509714834638217
49,2021-04-28 03:10:15,-18.567585397148296,4.80609931270951
50,2021-04-28 03:20:15,-18.826760912698308,4.540358352817508
51,2021-04-28 03:30:15,-19.281117785504005,4.5575803501318655
52,2021-04-28 03:40:15,-19.91948831458886,4.835508307928887
53,2021-04-28 03:50:15,-20.60745287698411,5.788521977831951
54,2021-04-28 04:00:15,-20.108100996862344,4.1592799619494984
55,2021-04-28 04:10:15,-21.231729081917404,6.393226071709811
56,2021-04-28 04:20:15,-20.38572436772794,4.160296393693765
57,2021-04-28 04:30:15,-20.46722571396406,4.642696329867878
58,2021-04-28 04:40:15,-21.248766785694393,4.7581367448562695
59,2021-04-28 04:50:15,-21.617681458034777,5.133952633326882
60,2021-04-28 05:00:15,-21.003937164130527,3.6673387173146508
61,2021-04-28 05:10:15,-21.83436596075415,4.297237050507878
62,2021-04-28 05:20:15,-22.450134667905253,5.178153382349149
63,2021-04-28 05:30:15,-23.46987006096009,8.016262483031975
64,2021-04-28 05:40:15,-23.54451701081389,4.8536001027826305
65,2021-04-28 05:50:15,-23.666418941550916,4.903670120400123
66,2021-04-28 06:00:15,-24.364913745130863,5.196742158162774
67,2021-04-28 06:10:15,-24.921074284436205,5.681847680164061
68,2021-04-28 06:20:15,-23.70351596975418,3.79818050600534
69,2021-04-28 06:30:15,-24.75172597857593,4.421529785390012
70,2021-04-28 06:40:15,-25.319289559700152,4.911478455785665
71,2021-04-28 06:50:15,-24.20319581418363,3.424636528059024
72,2021-04-28 07:00:15,-25.40835894137551,3.8576474759750425
73,2021-04-28 07:10:15,-25.345814148221038,3.797545973756797
74,2021-04-28 07:20:15,-25.431237081644067,3.813138849818751
75,2021-04-28 07:30:15,-25.476771566011898,4.251850617935128
76,2021-04-28 07:40:15,-24.589626798995535,3.582818958879094
77,2021-04-28 07:50:15,-25.155187074830003,4.259941643085995
78,2021-04-28 08:00:15,-24.285587734343448,4.518592039904414
79,2021-04-28 08:10:15,-21.885711289549484,3.5527740949177145
80,2021-04-28 08:20:15,-21.99138144841278,4.935558386001358
81,2021-04-28 08:30:15,-20.67244637101266,5.731811846914217
82,2021-04-28 08:40:15,-18.502583890339697,4.07395495377126
83,2021-04-28 08:50:15,-17.547061607193008,5.157591910392902
84,2021-04-28 09:00:15,-15.462950256948838,4.6190307560065
85,2021-04-28 09:10:15,-13.843949855822,3.6215714949038023
86,2021-04-28 09:20:15,-12.614358243297422,4.433822173214712
87,2021-04-28 09:30:15,-10.45118099628799,4.152179428009048
88,2021-04-28 09:40:15,-8.864190814055288,4.463345966646287
89,2021-04-28 09:50:15,-7.173866179961539,3.6977502323773472
90,2021-04-28 10:00:15,-5.348451859693077,4.1084088894107085
91,2021-04-28 10:10:15,-3.435577876984254,4.23161120266465
92,2021-04-28 10:20:15,-2.094833157794043,5.650272768486466
93,2021-04-28 10:30:15,0.7392957182872579,4.491855430895389
94,2021-04-28 10:40:15,2.488653273809427,4.811072784862423
95,2021-04-28 10:50:15,4.355490523968699,5.39077887414117
96,2021-04-28 11:00:15,5.670427770069793,5.127264402019472
97,2021-04-28 11:10:15,8.482075420802616,5.01100738647049
98,2021-04-28 11:20:15,10.457275666450238,4.36063443096305
99,2021-04-28 11:30:15,10.969473090298626,4.782026396874093
100,2021-04-28 11:40:15,14.933217311499483,4.481998450726249
101,2021-04-28 11:50:15,17.060938727883187,4.228883285673984
102,2021-04-28 12:00:15,17.173911962445672,6.0034321662073244
103,2021-04-28 12:10:15,20.05598958333325,5.96635725491667
104,2021-04-28 12:20:15,20.500414992746265,4.941505430986574
105,2021-04-28 12:30:15,23.089312580598868,5.115213656245046
106,2021-04-28 12:40:15,22.703982904554984,6.879968662288588
107,2021-04-28 12:50:15,25.33804588722561,5.285971666783576
108,2021-04-28 13:00:15,25.96047314001794,5.7329783438594255
109,2021-04-28 13:10:15,27.18929811507934,5.429049694304581
110,2021-04-28 13:20:15,29.33178323412688,4.9158520948214885
111,2021-04-28 13:30:15,28.88154091861875,5.074809681226456
112,2021-04-28 13:40:15,30.27560763888874,5.669880194087075
113,2021-04-28 13:50:15,30.539499856641008,5.897992339547751
114,2021-04-28 14:00:15,32.91853818195062,5.137057630713824
115,2021-04-28 14:10:15,32.73033883396203,5.1508711289840905
116,2021-04-28 14:20:15,34.149485771821546,5.19660317290477
117,2021-04-28 14:30:15,34.99088541666652,4.607468806184645
118,2021-04-28 14:40:15,35.70101217266353,4.235931045067245
119,2021-04-28 14:50:15,33.86546199896921,5.535264178203671
120,2021-04-28 15:00:15,35.79036134617821,5.211426250048626
121,2021-04-28 15:10:15,36.18475332547559,5.724238443063796
122,2021-04-28 15:20:15,36.494722889155575,5.887297183267232
123,2021-04-28 15:30:15,37.00983044733037,3.8999407302287894
124,2021-04-28 15:40:15,34.99546697893584,6.811311416156224
125,2021-04-28 15:50:15,35.9212475774029,4.501279845605655
126,2021-04-28 16:00:15,35.68513094038811,4.499236457849889
127,2021-04-28 16:10:15,35.47623050565204,4.249728308551341
128,2021-04-28 16:20:15,35.06876052062634,4.848450560511603
129,2021-04-28 16:30:15,33.84734779354662,4.922170632446298
130,2021-04-28 16:40:15,32.5276378393506,4.853917398334677
131,2021-04-28 16:50:15,31.020585317460224,6.259525545472716
132,2021-04-28 17:00:15,31.20717243975894,4.036645594951583
133,2021-04-28 17:10:15,29.45987884463954,4.140765890143211
134,2021-04-28 17:20:15,28.709730097843025,3.7872501596932184
135,2021-04-28 17:30:15,25.75321570580516,6.825857522355097
