class,采集时间,竖向加速度平均值,竖向加速度标准差
0,2021-04-27 19:00:00.000,-2.5341228153411623e-06,0.02036168600057127
1,2021-04-27 19:10:00.000,5.280114267596631e-06,0.004204452684800759
2,2021-04-27 19:20:00.000,3.9847842205642505e-06,0.00605206365983655
3,2021-04-27 19:30:00.000,2.4255221130466905e-06,0.004772462220419945
4,2021-04-27 19:40:00.000,-1.2453487783513093e-06,0.0028088057215649165
5,2021-04-27 19:50:00.000,2.388505723011301e-06,0.004546615737843668
6,2021-04-27 20:00:00.000,-8.426157373842623e-08,0.004438684997218745
7,2021-04-27 20:10:00.000,-7.505170503773413e-07,0.006291312097732479
8,2021-04-27 20:20:00.000,1.1669012472723098e-06,0.006979859721789771
9,2021-04-27 20:30:00.000,-7.249434803428926e-06,0.00316110816476689
10,2021-04-27 20:40:00.000,1.2634198912639138e-06,0.00311561698561593
11,2021-04-27 20:50:00.000,1.523495828050753e-06,0.002512883481491945
12,2021-04-27 21:00:00.000,1.0002269005505685e-05,0.005377445277658412
13,2021-04-27 21:10:00.000,-4.041771174444294e-08,0.006251385553112737
14,2021-04-27 21:20:00.000,5.828864969219055e-07,0.002274146171501547
15,2021-04-27 21:30:02.000,-6.455725186311892e-06,0.0035340250757855446
16,2021-04-27 21:40:00.000,1.1238153970223466e-06,0.0008923753771538294
17,2021-04-27 21:50:00.000,2.7304785844753953e-07,0.0016420205880095585
18,2021-04-27 22:00:00.000,7.557353139865527e-06,0.0041941754375059885
19,2021-04-27 22:10:00.000,-2.843788146145484e-06,0.005097989309181768
20,2021-04-27 22:20:00.000,5.401005513896824e-06,0.004634201601010584
21,2021-04-27 22:30:00.000,1.2166994472695265e-05,0.0077608192050507945
22,2021-04-27 22:40:00.000,-1.145801157049439e-05,0.0015161312012377385
23,2021-04-27 22:50:00.000,7.753184655378855e-06,0.00408323787924419
24,2021-04-27 23:00:00.000,7.970065039227559e-06,0.0035626920382397704
25,2021-04-27 23:10:00.000,5.280269262302939e-06,0.003655919491654366
26,2021-04-27 23:20:00.000,-7.062271963100901e-06,0.0013706453093856696
27,2021-04-27 23:30:00.000,-5.72492403784538e-06,0.0041147028136212195
28,2021-04-27 23:40:00.000,3.166360692415501e-06,0.0018651925311473062
29,2021-04-27 23:50:01.000,-1.4951748221630717e-06,0.0014857952398206582
30,2021-04-28 00:00:00.000,8.79530134058295e-06,0.005984191323912335
31,2021-04-28 00:10:00.000,9.183058143823539e-07,0.0018198786530840123
32,2021-04-28 00:20:01.000,4.5923111590399436e-07,0.0015356121768997687
33,2021-04-28 00:30:00.000,1.4902437832001078e-06,0.0012012079682399428
34,2021-04-28 00:40:00.000,-3.0757807017793817e-06,0.0049481258652969125
35,2021-04-28 00:50:00.000,2.645883750643192e-06,0.004356486032400917
36,2021-04-28 01:00:00.000,6.157461388901832e-06,0.006813913253506685
37,2021-04-28 01:10:00.000,-1.2618150763166832e-06,0.004940822075741514
38,2021-04-28 01:20:00.000,2.0019868187088843e-06,0.002530647154343139
39,2021-04-28 01:30:00.000,-3.00188441946954e-06,0.0014599582565075035
40,2021-04-28 01:40:00.000,1.231044099415783e-06,0.005936956272719218
41,2021-04-28 01:50:00.000,-8.473965881368267e-07,0.006114893009689197
42,2021-04-28 02:00:00.000,-1.319312805117229e-06,0.0030410765672511412
43,2021-04-28 02:10:00.000,4.2436323489419664e-07,0.0028311784306536596
44,2021-04-28 02:20:00.000,6.682660881866882e-07,0.00025979429161273064
45,2021-04-28 02:30:00.000,9.305527205495292e-07,0.0033587190125066797
46,2021-04-28 02:40:00.000,4.487597185971951e-06,0.0004155609166925943
47,2021-04-28 02:50:00.000,9.836484867525902e-06,0.0022800832596913236
48,2021-04-28 03:00:00.000,2.3180940749135026e-07,0.0002294271472990657
49,2021-04-28 03:10:00.000,4.180711270106551e-06,0.002553830261324942
