class,采集时段,总风速,纵桥向风速,横桥向风速,竖向风速,平均风向,平均风功角,Ix,Iy,Iz
0,2021-04-27 19:00:00.000,0.918964241604582,0.555902080547153,0.2131608397024874,0.0009291275979265743,204.412,0.116,0.6821331646371391,1.324334850760859,0.0080238283103038
1,2021-04-27 19:10:00.000,1.063642785003658,-0.8609476147988688,0.49352158892409836,0.0014457052694417467,46.659,0.087,0.34462081682831736,0.4113057142335028,0.0029918110872815657
2,2021-04-27 19:20:00.000,1.0007011004626702,-0.6264204787836356,0.7579208333471176,0.0016861813308942481,32.728,0.095,0.16904068129914535,0.19444666269378633,0.001525661077475381
3,2021-04-27 19:30:00.000,1.2564726994699502,-0.42495360739275545,1.1641583877351636,0.002210860384632124,171.123,0.101,0.15763371929275363,0.1626099486105255,0.0011863855849730107
4,2021-04-27 19:40:00.000,1.3664261187833602,0.21211577294127432,1.3112048927476607,0.0033666439279930625,330.609,0.147,0.17976121096760697,0.26176742116849244,0.0012053357069567146
5,2021-04-27 19:50:00.000,1.5049270804879573,0.6775278087777439,1.3041070330260691,0.0024065377672220496,309.108,0.099,0.2868027799716538,0.17065661243715255,0.0019487962246259758
6,2021-04-27 20:00:00.000,1.2576328266853622,0.5978974778619386,1.0754225840977363,0.0018830469615735794,309.37,0.088,0.2500006881402772,0.14900131895446272,0.001831309736010398
7,2021-04-27 20:10:00.000,1.3955751774842338,0.6927929142400564,1.1869579787234752,0.0018086950973490667,308.417,0.077,0.24437348425318545,0.1315172202441289,0.0015605453061463006
8,2021-04-27 20:20:00.000,2.1036071108501657,0.5519465343363118,2.028211653038361,0.0037119846903311744,324.723,0.101,0.06033493165988093,0.036961699062686613,0.00041101750247431857
9,2021-04-27 20:30:00.000,2.1188859317919833,0.7844405440237204,1.9648001969127784,0.0033492093960349276,318.021,0.091,0.09552217913268037,0.04469026987080158,0.0005213048746309161
10,2021-04-27 20:40:00.000,1.9035845364978128,0.5032285295256371,1.8191451676884705,0.0039836570453110395,324.148,0.127,0.14463613695520625,0.13308667737392266,0.0009698242228080755
11,2021-04-27 20:50:00.000,2.2793594983470475,0.25480022048263534,2.255696747840417,0.004466362247807845,333.151,0.115,0.11429517632572826,0.09694104986156528,0.0009175126776303457
12,2021-04-27 21:00:00.000,2.651184929840251,-0.15355250601852813,2.6396387869287725,0.004969626897174767,343.196,0.108,0.08851101184810523,0.06397708233448277,0.000571702785556729
13,2021-04-27 21:10:00.000,2.7050073617556634,-0.4320503252564995,2.6632768409487153,0.004993882715575806,346.798,0.106,0.13805206120757538,0.07379131377689772,0.0008189420227715265
