class,采集时间,横向加速度平均值,横向加速度标准差
0,2021-05-04 00:00:00.000,-5.286044194996691e-07,0.0005476834070843612
1,2021-05-04 00:10:00.000,-6.984093808318505e-07,0.0006024285782516727
2,2021-05-04 00:20:00.000,-3.4750665360346783e-07,0.0005744607107383481
3,2021-05-04 00:30:00.000,-7.408822031990137e-07,0.0004888633738913455
4,2021-05-04 00:40:00.000,9.069383890346919e-08,0.0007107579149853196
5,2021-05-04 00:50:00.000,7.916685964490442e-08,0.00042320006515965457
6,2021-05-04 01:00:00.000,-1.1394785098324905e-07,0.0005445749153021225
7,2021-05-04 01:10:00.000,-1.8444828397988221e-06,0.0009743574747148292
8,2021-05-04 01:20:00.000,-1.4626344645973804e-06,0.0008470563370749876
9,2021-05-04 01:30:00.000,3.504558027231953e-07,0.000541228583275761
10,2021-05-04 01:40:00.000,4.7895981533281294e-08,0.00029530383489081606
11,2021-05-04 01:50:00.000,2.6362432029577573e-07,0.0005821922736830267
12,2021-05-04 02:00:00.000,-1.5968759524489232e-07,0.0007348158656279111
13,2021-05-04 02:10:00.000,-3.3319169812802734e-07,0.0004533260700062979
14,2021-05-04 02:20:00.000,-9.38911187687948e-08,0.0002157545170365039
15,2021-05-04 02:30:00.000,3.7939451845111163e-07,0.00023332815822419304
16,2021-05-04 02:40:00.000,2.531201655441948e-07,0.0010738184775815483
17,2021-05-04 02:50:00.000,7.163701858582128e-07,0.00024300042439428954
18,2021-05-04 03:00:00.000,-3.290236217465134e-07,0.0005566906299336777
19,2021-05-04 03:10:00.000,-6.125802851990519e-07,0.0006617571563583205
20,2021-05-04 03:20:00.000,-1.096257387212483e-06,0.0010571686182505988
21,2021-05-04 03:30:00.000,8.06373722414341e-07,0.0005162184565248057
22,2021-05-04 03:40:00.000,-1.2190521607336332e-07,0.0003521234039131118
23,2021-05-04 03:50:00.000,4.644331335648813e-08,0.00037200784678820774
24,2021-05-04 04:00:00.000,8.3571440172665e-07,0.00048273297045999203
